id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K541765,64.147266,12.414437,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2025-07-24,2025,Snåase - Snåsa (N),Snøås setra,Rovviltskade,Dokumentert
K541798,65.425415,13.930342,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2025-07-26,2025,Aarborte - Hattfjelldal (N),Grubblandet,Rovviltskade,Dokumentert
K541873,64.608737,12.411289,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2025-07-28,2025,Høylandet (N),Skarlandsfjellet,Rovviltskade,Dokumentert
K541905,69.878866,25.251925,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2025-07-29,2025,Porsanger - Porsá?gu - Porsanki (N),,Rovviltskade,Dokumentert
K541949,59.255371,7.998113,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2025-07-31,2025,Fyresdal (N),tjønfjell,Rovviltskade,Antatt sikker
K541950,69.25631,20.01216,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2025-07-31,2025,Storfjord - Omasvuotna - Omasvuono (N),kitdalen ,Rovviltskade,Antatt sikker
K541965,61.351396,11.674859,Sau skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i område med rovviltavvisende gjerde.,Ulv,Sau,2025-08-01,2025,Åmot (N),Slemdalen ,Rovviltskade,Dokumentert
K541966,61.352214,11.675577,Sau skadet av ulv,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i område med rovviltavvisende gjerde.,Ulv,Sau,2025-08-01,2025,Åmot (N),Slemdalen ,Rovviltskade,Dokumentert
K541974,62.30166,8.757935,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2025-08-01,2025,Lesja (N),finnmannsbotn,Rovviltskade,Dokumentert
K541975,62.230554,7.314394,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2025-07-31,2025,Fjord (N),Nedre Vassdalsvatnet,Rovviltskade,Dokumentert
K541976,62.230554,7.314394,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2025-08-02,2025,Fjord (N),Vassdalen,Rovviltskade,Dokumentert
K542019,62.694275,9.822683,Sau skadet av bjørn,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Bjørn,Sau,2025-08-03,2025,Oppdal (N),Grytdalsskaret,Rovviltskade,Antatt sikker
K542061,62.704116,9.788906,Sau skadet av bjørn,Ett dyr er  skadd og ikke avlivet. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i innmark.,Bjørn,Sau,2025-08-05,2025,Oppdal (N),Grytdalen,Rovviltskade,Antatt sikker
