id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K517008,68.843167,18.491231,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2021-07-18,2021,Bardu (N),Brattlia,Rovviltskade,Dokumentert
K517041,62.401838,9.993142,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Sau,2021-07-19,2021,Folldal (N),Mehøa,Rovviltskade,Antatt sikker
K517002,59.891942,9.882827,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er usikker. Skaden skjedde i utmark.,Gaupe,Sau,2021-07-18,2021,Modum (N),Nykirke åmot,Rovviltskade,Usikker
K517003,61.912744,8.890132,Sau skadet av jerv,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2021-07-18,2021,Vågå (N),NØ for Skaihøe,Rovviltskade,Dokumentert
K517035,63.795198,10.894962,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2021-07-18,2021,Inderøy (N),Dalsvatnet,Rovviltskade,Antatt sikker
K517076,61.972276,8.388053,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2021-07-21,2021,Skjåk (N),Utla,Rovviltskade,Dokumentert
K517197,64.250555,11.647921,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2021-07-27,2021,Namsos - Nåavmesjenjaelmie (N),Lysåsen,Rovviltskade,Dokumentert
K517219,62.213363,11.611576,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Sau,2021-07-27,2021,Tolga (N),,Rovviltskade,Dokumentert
K517234,60.538714,11.59542,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2021-07-28,2021,Nord-Odal (N),Jaren,Rovviltskade,Dokumentert
K517254,64.028674,12.331096,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2021-07-29,2021,Snåase - Snåsa (N),Mellom Nåvatnet og Åsvatnet,Rovviltskade,Dokumentert
