id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K412600,63.311096,11.306501,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2008-08-11,2008,Selbu (N),Varghaugane,Rovviltskade,Dokumentert
K412689,62.260687,7.908091,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2008-08-09,2008,Rauma (N),Bak Ulvostind,Rovviltskade,Dokumentert
K412749,60.937389,11.444468,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Bjørn,Sau,2008-07-30,2008,Elverum (N),Grunsetskogen,Rovviltskade,Antatt sikker
K412794,63.747774,12.036839,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2008-08-15,2008,Verdal (N),Nord Kverndalsvollen,Rovviltskade,Dokumentert
K412802,62.282545,11.043393,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-07-18,2008,Tolga (N),Storbekkvolden,Rovviltskade,Dokumentert
K412808,61.793373,10.944698,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-07-25,2008,Rendalen (N),Kivdalen,Rovviltskade,Dokumentert
K412829,61.110837,11.192488,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-08-08,2008,Åmot (N),Svartåbua,Rovviltskade,Dokumentert
K406691,61.83849,11.05514,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-18,2007,Rendalen (N),Hårendalen,Rovviltskade,Dokumentert
K406694,61.824363,11.039012,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-08-18,2007,Rendalen (N),Bergsetvollen,Rovviltskade,Dokumentert
K406820,61.706116,10.613161,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-09-04,2007,Ringebu (N),Hirkjølen,Rovviltskade,Dokumentert
K412482,60.288767,9.260438,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er usikker. Skaden skjedde i utmark.,Gaupe,Sau,2008-08-12,2008,Sigdal (N),Medalen,Rovviltskade,Usikker
K412576,70.224857,28.655359,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2008-08-04,2008,Unjárga - Nesseby (N),Vuovdevadda,Rovviltskade,Dokumentert
K412612,62.537622,10.18145,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er usikker. Skaden skjedde i utmark.,Jerv,Sau,2008-08-05,2008,Tynset (N),Inna,Rovviltskade,Usikker
K412646,65.878616,13.324483,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Bjørn,Sau,2008-08-06,2008,Vefsn (N),Høgtuva,Rovviltskade,Antatt sikker
K412652,65.84082,14.195437,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i innmark.,Bjørn,Sau,2008-08-09,2008,Aarborte - Hattfjelldal (N),Sørlia,Rovviltskade,Dokumentert
K412682,61.470272,12.161089,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i inngjerdet innmark.,Gaupe,Sau,2008-07-29,2008,Trysil (N),Kanbekkssetra,Rovviltskade,Dokumentert
K412692,62.303275,7.742601,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2008-08-03,2008,Rauma (N),Børrebotn,Rovviltskade,Dokumentert
K412726,61.268772,10.76228,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2008-07-22,2008,Øyer (N),Hynnlia,Rovviltskade,Antatt sikker
K412771,62.57632,10.947181,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i inngjerdet innmark.,Kongeørn,Sau,2008-07-30,2008,Os (N),Brøttet/Vangrøftdalen,Rovviltskade,Dokumentert
K412772,62.63409,11.11867,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-08-01,2008,Os (N),Kjurrudalen,Rovviltskade,Dokumentert
K412801,62.290125,11.043477,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-07-18,2008,Tolga (N),Bekkvolden,Rovviltskade,Dokumentert
K412822,61.122363,11.138435,Sau skadet av bjørn,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-08-03,2008,Åmot (N),Djupdalen,Rovviltskade,Dokumentert
K412830,61.186553,11.142286,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2008-08-09,2008,Åmot (N),Bjørnberget,Rovviltskade,Dokumentert
K412841,61.306738,7.56424,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2008-08-18,2008,Årdal (N),Breibotn,Rovviltskade,Dokumentert
K412842,61.288469,7.535203,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2008-08-19,2008,Årdal (N),Reinspel,Rovviltskade,Dokumentert
