id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K546717,61.31806,9.93359,Sau skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Ulv,Sau,2026-07-13,2026,Gausdal (N),Nyseterkjølen,Rovviltskade,Antatt sikker
K546816,67.438975,15.715955,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2026-07-16,2026,Sørfold (N),Kollen,Rovviltskade,Dokumentert
K546530,61.6331,10.22693,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2026-07-04,2026,Ringebu (N),flågåmyhra,Rovviltskade,Dokumentert
K546536,61.313816,9.934127,Sau skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Ulv,Sau,2026-07-05,2026,Gausdal (N),nyseterkjølen,Rovviltskade,Dokumentert
K546551,65.852158,13.047577,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2026-07-06,2026,Vefsn (N),vikdal 2,Rovviltskade,Dokumentert
K546556,63.847115,12.052881,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2026-07-06,2026,Verdal (N),Bynavollen,Rovviltskade,Dokumentert
K546576,64.304338,12.3203,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2026-07-08,2026,Snåase - Snåsa (N),Gauslia,Rovviltskade,Dokumentert
K546616,64.358631,12.648989,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2026-07-09,2026,Snåase - Snåsa (N),Lurukroken1,Rovviltskade,Dokumentert
K546617,64.358954,12.649542,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2026-07-09,2026,Snåase - Snåsa (N),Lurukroken2,Rovviltskade,Dokumentert
K546618,61.082364,10.855152,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2026-07-08,2026,Ringsaker (N),Bleka,Rovviltskade,Dokumentert
K546661,61.189034,8.733714,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Sau,2026-07-11,2026,Vang (N),dalavegen?,Rovviltskade,Dokumentert
