id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K521549,68.305084,16.381013,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-04-09,2022,Narvik (N),"Forneshøgda, Efjord",Rovviltskade,Antatt sikker
K521558,70.653914,26.38738,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Rein,2022-04-23,2022,Lebesby (N),Lille-Porsanger,Rovviltskade,Antatt sikker
K521580,70.737858,27.434671,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2022-04-24,2022,Lebesby (N),Sarvvesjavri nordvest,Rovviltskade,Dokumentert
K521650,58.562615,6.00512,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i inngjerdet innmark.,Kongeørn,Sau,2022-05-01,2022,Bjerkreim (N),Heimebeite,Rovviltskade,Dokumentert
K521722,69.456681,20.201027,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2022-05-08,2022,Lyngen (N),Sandvika,Rovviltskade,Dokumentert
K521772,66.99667,15.787182,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2022-05-11,2022,Saltdal (N),Marianøve,Rovviltskade,Antatt sikker
K521779,64.948122,12.881086,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2022-05-12,2022,Namsskogan (N),Blåfjellet,Rovviltskade,Dokumentert
K521804,69.625382,21.075634,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-05-13,2022,Nordreisa - Ráisa - Raisi (N),Kildalen,Rovviltskade,Antatt sikker
K521813,65.321835,14.244736,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2022-05-14,2022,Aarborte - Hattfjelldal (N),Susenfjellet,Rovviltskade,Dokumentert
K521814,65.412763,14.319621,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-05-11,2022,Aarborte - Hattfjelldal (N),Ørjedalsfjellet,Rovviltskade,Dokumentert
K521871,66.188511,16.285829,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av Länsstyrelsen. Skadeårsaken er dokumentert.,Kongeørn,Rein,2022-05-11,2022,Arjeplog (S),RHÄKER,Rovviltskade,Dokumentert
K521889,63.004966,13.701043,Rein skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av en sameby. Skadeårsaken er antatt sikker.,Ulv,Rein,2022-05-13,2022,Berg (S),Lillvisjön,Rovviltskade,Antatt sikker
K521890,63.004966,13.701043,Rein skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av en sameby. Skadeårsaken er antatt sikker.,Ulv,Rein,2022-05-13,2022,Berg (S),Lillvisjön,Rovviltskade,Antatt sikker
K521956,64.362505,14.011869,Rein skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Rein,2022-05-20,2022,Lierne (N),Fiskløysdalen,Rovviltskade,Dokumentert
K521957,64.362396,14.011604,Rein skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Rein,2022-05-20,2022,Lierne (N),Fiskløysdalen,Rovviltskade,Dokumentert
K521976,62.518635,9.615601,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i innmark.,Kongeørn,Sau,2022-05-22,2022,Oppdal (N),Rislia,Rovviltskade,Antatt sikker
